Time,Temperature(℃),Humidity(%),Pressure(Pa),UV(mW/cm2),Dust(mg/m3)
2018/12/30 20:06:53,20.30,41.30,100346.61,0.13,0.00
2018/12/30 20:10:53,20.30,41.20,101118.11,0.13,0.06
2018/12/30 20:20:53,17.30,29.40,102523.19,0.14,0.05
2018/12/30 20:30:52,9.40,28.10,103049.97,0.14,0.05
2018/12/30 20:40:52,5.90,27.90,103274.54,0.14,0.04
2018/12/30 20:50:52,4.00,27.70,103358.07,0.14,0.05
2018/12/30 21:00:52,3.10,27.70,103406.30,0.14,0.03
2018/12/30 21:10:51,2.60,27.90,103430.50,0.14,0.04
2018/12/30 21:20:51,2.40,28.60,103466.64,0.14,0.04
2018/12/30 21:30:51,2.10,29.00,103492.00,0.14,0.02
2018/12/30 21:40:50,1.90,29.50,103517.85,0.14,0.03
2018/12/30 21:50:50,1.70,29.90,103538.41,0.14,0.03
2018/12/30 22:00:50,1.60,30.10,103558.13,0.14,0.04
2018/12/30 22:10:50,1.50,30.30,103568.57,0.14,0.03
2018/12/30 22:20:49,1.30,30.50,103578.68,0.14,0.04
2018/12/30 22:30:49,1.20,30.60,103613.66,0.14,0.04
2018/12/30 22:40:49,1.10,30.90,103635.86,0.14,0.04
2018/12/30 22:50:48,1.00,31.10,103649.46,0.14,0.04
2018/12/30 23:00:48,0.90,31.30,103663.05,0.14,0.04
2018/12/30 23:10:48,0.80,31.50,103677.80,0.14,0.03
2018/12/30 23:20:48,0.70,31.80,103684.60,0.14,0.04
2018/12/30 23:30:47,0.60,32.20,103697.70,0.14,0.04
2018/12/30 23:40:47,0.50,32.70,103698.85,0.14,0.04
2018/12/30 23:50:47,0.50,33.10,103681.12,0.14,0.05
2018/12/31 00:00:46,0.40,33.50,103669.19,0.14,0.04
2018/12/31 00:10:46,0.40,33.90,103682.78,0.14,0.03
2018/12/31 00:20:46,0.40,34.20,103680.96,0.14,0.05
2018/12/31 00:30:46,0.30,34.40,103684.44,0.14,0.04
2018/12/31 00:40:45,0.30,34.50,103695.38,0.14,0.03
2018/12/31 00:50:45,0.20,34.60,103704.00,0.14,0.03
2018/12/31 01:00:45,0.10,34.70,103710.79,0.14,0.04
2018/12/31 01:10:44,0.10,34.90,103709.30,0.14,0.02
2018/12/31 01:20:44,0.00,35.00,103710.63,0.14,0.04
2018/12/31 01:30:44,0.00,35.10,103733.83,0.14,0.04
2018/12/31 01:40:43,-0.10,35.20,103732.00,0.15,0.05
2018/12/31 01:50:43,-0.10,35.30,103733.67,0.14,0.03
2018/12/31 02:00:43,-0.10,35.50,103756.38,0.15,0.04
2018/12/31 02:10:43,-0.20,35.60,103776.10,0.14,0.03
2018/12/31 02:20:42,-0.20,35.90,103798.32,0.14,0.03
2018/12/31 02:30:42,-0.30,36.00,103811.25,0.15,0.04
2018/12/31 02:40:42,-0.30,36.20,103833.96,0.15,0.04
2018/12/31 02:50:41,-0.30,36.20,103830.14,0.15,0.03
2018/12/31 03:00:41,-0.30,36.30,103817.38,0.14,0.04
2018/12/31 03:10:41,-0.30,36.40,103808.10,0.15,0.03
2018/12/31 03:20:41,-0.40,36.40,103782.89,0.15,0.03
2018/12/31 03:30:40,-0.30,36.50,103773.46,0.14,0.03
2018/12/31 03:40:40,-0.30,36.50,103758.20,0.14,0.04
2018/12/31 03:50:40,-0.30,36.60,103767.49,0.15,0.03
2018/12/31 04:00:39,-0.30,36.70,103781.57,0.15,0.03
2018/12/31 04:10:39,-0.40,36.70,103790.52,0.15,0.03
2018/12/31 04:20:39,-0.40,36.70,103780.41,0.15,0.04
2018/12/31 04:30:39,-0.50,36.70,103778.75,0.14,0.04
2018/12/31 04:40:38,-0.60,36.70,103761.19,0.15,0.03
2018/12/31 04:50:38,-0.50,36.70,103800.80,0.15,0.03
2018/12/31 05:00:38,-0.60,36.70,103798.97,0.14,0.03
2018/12/31 05:10:37,-0.60,36.60,103792.85,0.15,0.03
2018/12/31 05:20:37,-0.60,36.60,103789.36,0.15,0.04
2018/12/31 05:30:37,-0.60,36.70,103777.76,0.15,0.05
2018/12/31 05:40:36,-0.60,36.70,103762.85,0.15,0.04
2018/12/31 05:50:36,-0.60,36.80,103784.89,0.15,0.06
2018/12/31 06:00:36,-0.60,37.00,103805.11,0.15,0.02
2018/12/31 06:10:36,-0.60,37.20,103814.07,0.15,0.04
2018/12/31 06:20:35,-0.70,37.40,103827.32,0.14,0.04
2018/12/31 06:30:35,-0.80,37.60,103823.17,0.15,0.05
2018/12/31 06:40:35,-0.80,37.80,103832.46,0.14,0.03
2018/12/31 06:50:34,-0.80,38.00,103812.41,0.15,0.08
2018/12/31 07:00:34,-0.80,38.20,103798.82,0.14,0.03
2018/12/31 07:10:34,-0.70,38.50,103819.21,0.15,0.04
2018/12/31 07:20:33,-0.60,38.80,103816.55,0.15,0.04
2018/12/31 07:30:33,-0.60,39.00,103711.62,0.19,0.03
2018/12/31 07:40:33,-0.60,39.30,103562.94,0.18,0.04
2018/12/31 07:50:33,-0.10,39.70,103396.36,0.18,0.05
2018/12/31 08:00:32,0.90,39.90,103269.73,0.18,0.05
2018/12/31 08:10:32,1.70,39.90,103100.02,0.18,0.05
2018/12/31 08:20:32,2.60,39.80,101987.88,0.18,0.05
2018/12/31 08:30:31,7.40,38.00,101281.74,0.22,0.07
